receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:45:48.463688+00:00,erfurt,Erfurt,tram_metro,44,27,0,17,0,0,0,61.4
2026-09-06T09:45:48.463688+00:00,erfurt,Erfurt,bus,29,17,0,5,7,0,0,58.6
2026-09-06T09:45:48.463688+00:00,erfurt,Erfurt,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,erfurt,Erfurt,regional,10,5,0,4,1,0,0,50.0
2026-09-06T09:45:48.463688+00:00,erfurt,Erfurt,long_distance,5,4,0,0,1,0,0,80.0
2026-09-06T09:45:48.463688+00:00,erfurt,Erfurt,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,erfurt,Erfurt,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,wiesbaden,Wiesbaden,tram_metro,13,10,0,0,3,0,0,76.9
2026-09-06T09:45:48.463688+00:00,wiesbaden,Wiesbaden,bus,215,32,0,15,168,0,0,14.9
2026-09-06T09:45:48.463688+00:00,wiesbaden,Wiesbaden,suburban,11,10,0,1,0,0,0,90.9
2026-09-06T09:45:48.463688+00:00,wiesbaden,Wiesbaden,regional,16,13,0,3,0,0,0,81.2
2026-09-06T09:45:48.463688+00:00,wiesbaden,Wiesbaden,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,wiesbaden,Wiesbaden,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,wiesbaden,Wiesbaden,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,mainz,Mainz,tram_metro,15,12,0,0,3,0,0,80.0
2026-09-06T09:45:48.463688+00:00,mainz,Mainz,bus,225,51,0,15,159,0,0,22.7
2026-09-06T09:45:48.463688+00:00,mainz,Mainz,suburban,10,8,0,2,0,0,0,80.0
2026-09-06T09:45:48.463688+00:00,mainz,Mainz,regional,16,12,0,4,0,0,0,75.0
2026-09-06T09:45:48.463688+00:00,mainz,Mainz,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,mainz,Mainz,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,mainz,Mainz,other,0,0,0,0,0,0,0,
